attributeName,measurementScale,domain,unit,numberType,attributeLabel,attributeDefinition,definition,formatString,missingValueCode,missingValueCodeExplanation
C2-Naphthalenes,ratio,numericDomain,number,real,NA,C2-Naphthalenes,NA,NA,NA,NA
C3-Naphthalenes,ratio,numericDomain,number,real,NA,C3-Naphthalenes,NA,NA,NA,NA
C4-Naphthalenes,ratio,numericDomain,number,real,NA,C4-Naphthalenes,NA,NA,NA,NA
Fluorene,ratio,numericDomain,number,real,NA,Fluorene,NA,NA,NA,NA
C1-Fluorenes,ratio,numericDomain,number,real,NA,C1-Fluorenes,NA,NA,NA,NA
C2-Fluorenes,ratio,numericDomain,number,real,NA,C2-Fluorenes,NA,NA,NA,NA
C3- Fluorenes,ratio,numericDomain,number,real,NA,C3- Fluorenes,NA,NA,NA,NA
Dibenzothiophene,ratio,numericDomain,number,real,NA,Dibenzothiophene,NA,NA,NA,NA
C1-Dibenzothiophenes,ratio,numericDomain,number,real,NA,C1-Dibenzothiophenes,NA,NA,NA,NA
C2-Dibenzothiophenes,ratio,numericDomain,number,real,NA,C2-Dibenzothiophenes,NA,NA,NA,NA
C3- Dibenzothiophenes,ratio,numericDomain,number,real,NA,C3- Dibenzothiophenes,NA,NA,NA,NA
Phenanthrene,ratio,numericDomain,number,real,NA,Phenanthrene,NA,NA,NA,NA
C1-Phenanthrenes,ratio,numericDomain,number,real,NA,C1-Phenanthrenes,NA,NA,NA,NA
C2-Phenanthrenes,ratio,numericDomain,number,real,NA,C2-Phenanthrenes,NA,NA,NA,NA
C3-Phenanthrenes,ratio,numericDomain,number,real,NA,C3-Phenanthrenes,NA,NA,NA,NA
C4-Phenanthrenes,ratio,numericDomain,number,real,NA,C4-Phenanthrenes,NA,NA,NA,NA
Anthracene,ratio,numericDomain,number,real,NA,Anthracene,NA,NA,NA,NA
Fluoranthene,ratio,numericDomain,number,real,NA,Fluoranthene,NA,NA,NA,NA
Pyrene,ratio,numericDomain,number,real,NA,Pyrene,NA,NA,NA,NA
C1- Pyrenes,ratio,numericDomain,number,real,NA,C1- Pyrenes,NA,NA,NA,NA
C2- Pyrenes,ratio,numericDomain,number,real,NA,C2- Pyrenes,NA,NA,NA,NA
C3- Pyrenes,ratio,numericDomain,number,real,NA,C3- Pyrenes,NA,NA,NA,NA
C4- Pyrenes,ratio,numericDomain,number,real,NA,C4- Pyrenes,NA,NA,NA,NA
Naphthobenzothiophene,ratio,numericDomain,number,real,NA,Naphthobenzothiophene,NA,NA,NA,NA
C-1 Naphthobenzothiophenes,ratio,numericDomain,number,real,NA,C-1 Naphthobenzothiophenes,NA,NA,NA,NA
C-2 Naphthobenzothiophenes,ratio,numericDomain,number,real,NA,C-2 Naphthobenzothiophenes,NA,NA,NA,NA
C-3 Naphthobenzothiophenes,ratio,numericDomain,number,real,NA,C-3 Naphthobenzothiophenes,NA,NA,NA,NA
Benzo (a) Anthracene,ratio,numericDomain,number,real,NA,Benzo (a) Anthracene,NA,NA,NA,NA
Chrysene,ratio,numericDomain,number,real,NA,Chrysene,NA,NA,NA,NA
C1- Chrysenes,ratio,numericDomain,number,real,NA,C1- Chrysenes,NA,NA,NA,NA
C2- Chrysenes,ratio,numericDomain,number,real,NA,C2- Chrysenes,NA,NA,NA,NA
C3- Chrysenes,ratio,numericDomain,number,real,NA,C3- Chrysenes,NA,NA,NA,NA
C4- Chrysenes,ratio,numericDomain,number,real,NA,C4- Chrysenes,NA,NA,NA,NA
Benzo (b) Fluoranthene,ratio,numericDomain,number,real,NA,Benzo (b) Fluoranthene,NA,NA,NA,NA
Benzo (k) Fluoranthene,ratio,numericDomain,number,real,NA,Benzo (k) Fluoranthene,NA,NA,NA,NA
Benzo (e) Pyrene,ratio,numericDomain,number,real,NA,Benzo (e) Pyrene,NA,NA,NA,NA
Benzo (a) Pyrene,ratio,numericDomain,number,real,NA,Benzo (a) Pyrene,NA,NA,NA,NA
Perylene,ratio,numericDomain,number,real,NA,Perylene,NA,NA,NA,NA
"Indeno (1,2,3 - cd) Pyrene",ratio,numericDomain,number,real,NA,"Indeno (1,2,3 - cd) Pyrene",NA,NA,NA,NA
"Dibenzo (a,h) anthracene",ratio,numericDomain,number,real,NA,"Dibenzo (a,h) anthracene",NA,NA,NA,NA
"Benzo (g,h,i) perylene",ratio,numericDomain,number,real,NA,"Benzo (g,h,i) perylene",NA,NA,NA,NA
